nct_id,title,status,phase,study_type,conditions,lead_sponsor,start_date,completion_date,enrollment_count,sponsor_class,num_sites,fda_regulated_drug,minimum_age,maximum_age,accepts_healthy,sex,num_collaborators
NCT01262716,A Novel Therapy for the Treatment of Chest Wall Progression of Breast Cancer,COMPLETED,,OBSERVATIONAL,Breast Cancer,Rogers Sciences Inc.,2010-12,2011-08,3.0,INDUSTRY,1,,,,False,FEMALE,3
NCT01943916,A Study of Imaging With Opto-acoustics to Diagnose Breast Masses Detected by Mammography and/or Diagnostic Ultrasound: A New Evaluation Tool for Radiologists,COMPLETED,NA,INTERVENTIONAL,Breast Cancer,Seno Medical Instruments Inc.,2012-12-21,2015-09-09,2105.0,INDUSTRY,16,,18 Years,,False,FEMALE,0
NCT05807516,Study of the Impact of Neoadjuvant Therapy on the Heterogeneity of Triple Negative Breast Cancer Through Single-cell RNA Sequencing (scRNAseq) and Whole-exome Sequencing (WES),UNKNOWN,,OBSERVATIONAL,Breast Neoplasms,Regina Elena Cancer Institute,2021-12-14,2024-12-31,20.0,OTHER,2,False,,,False,FEMALE,0
NCT00331552,Phase I - II Study of Doxil® In Combination With Daily Oral Cyclophosphamide and Herceptin for Patients With HER-2/Neu Positive Disease In Patients With Metastatic Breast Cancer,COMPLETED,"PHASE1, PHASE2",INTERVENTIONAL,"HER2-positive Breast Cancer, Male Breast Cancer, Recurrent Breast Cancer, Stage IV Breast Cancer",University of Washington,2006-02,2012-02,30.0,OTHER,1,,18 Years,,False,ALL,1
NCT05709158,Evaluation of Risk Factors Associated With Myelosuppression (Grade 4 Neutropenia) in Breast Cancer Patients Treated With Palbociclib in the Post-marketing Setting: Nested Case-control Study Using the Medical Information Database Network (MID-NET) Database,COMPLETED,,OBSERVATIONAL,Breast Cancer,Pfizer,2024-08-19,2024-08-30,4184.0,INDUSTRY,1,,18 Years,,False,ALL,0
NCT03638648,Multi Gene Detection Tool Based Recurrence Score-guiding Chemotherapy in Non-pathologic Complete Response HR Positive and HER2 Negative Breast Cancer After Neoadjuvant Treatment,UNKNOWN,PHASE2,INTERVENTIONAL,Breast Cancer,Zhejiang Cancer Hospital,2019-11-01,2022-12-30,80.0,OTHER,0,False,18 Years,70 Years,False,FEMALE,0
NCT06831955,The LESLIE Trial: LifEStyle Intervention to Enhance Efficacy of Neoadjuvant Systemic Therapy in Patients With Triple Negative Breast Cancer,RECRUITING,PHASE2,INTERVENTIONAL,"Triple Negative Breast Cancer (TNBC), Early Setting",Universitaire Ziekenhuizen KU Leuven,2026-02-01,2031-09-01,356.0,OTHER,10,False,18 Years,,False,ALL,8
NCT00815555,CYP2D6 Genotyping by AmpliChipTM CYP450 for Tamoxifen-Treated Breast Cancer Patients,UNKNOWN,,OBSERVATIONAL,Breast Cancer,Assaf-Harofeh Medical Center,2008-12,,500.0,OTHER_GOV,1,,18 Years,,False,FEMALE,0
NCT00193778,A Randomized Trial To Assess The Impact Of Loco-Regional Treatment On Survival Of Patients With Metastatic Breast Cancer At First Presentation,COMPLETED,NA,INTERVENTIONAL,Cancer of the Breast,Tata Memorial Hospital,2005-02,2020-07-30,350.0,OTHER_GOV,1,,21 Years,65 Years,False,FEMALE,0
NCT01831778,Breast Cancer Surveillance Consortium Data Resource,COMPLETED,,OBSERVATIONAL,Breast Cancer,Kaiser Permanente,1994-01,2009-12,2345817.0,OTHER,1,,18 Years,,True,FEMALE,5
NCT06956443,The Predictive Value of Quantified Indocyanine Green Fluorescent Angiography for Skin Necrosis in Mastectomy With Immediate Reconstruction,NOT_YET_RECRUITING,,OBSERVATIONAL,"Breast Cancers, Mastectomy and Breast Reconstruction, Skin Necrosis",University Medical Center Groningen,2025-06-01,2026-12-01,50.0,OTHER,0,False,18 Years,,False,FEMALE,1
NCT07471815,Mechanisms and Efficacy of Camrelizumab Plus Risedronate and Chemotherapy in Triple-Negative Breast Cancer: An Exploratory Clinical Study,ACTIVE_NOT_RECRUITING,PHASE2,INTERVENTIONAL,Breast Cancer Triple Negative Breast Cancer,Harbin Medical University,2026-03-04,2029-03-31,30.0,OTHER,1,False,18 Years,70 Years,False,FEMALE,0
NCT05135104,"Non-Interventional, National Study Of Real-World Evidence In Estrogen Receptor Positive, Her2 Negative Metastatic Breast Cancer Patients Treated With Palbociclib During a 2.5 Years Follow-Up Period",UNKNOWN,,OBSERVATIONAL,Metastatic Breast Cancer,Asociatia Oncohelp - Centrul de Oncologie Oncohelp,2021-12-15,2024-05-25,650.0,OTHER,7,True,18 Years,65 Years,False,FEMALE,1
NCT05179304,Aesthetic Outcomes of Oncoplastic Breast Surgery With a Droplet-Shaped Glandular Flap for Breast Cancer in the Upper Inner Quadrant,UNKNOWN,NA,INTERVENTIONAL,"Oncoplastic Breast Surgery, Breast Cancer, Aesthetic Outcomes",Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,2022-01-18,2022-11,109.0,OTHER,1,False,18 Years,70 Years,False,FEMALE,0
NCT01227733,Comparative Genomic and Genetic Analysis of Paired Primary Breast - Metastatic Tumor Specimens Using High-throughput Platforms,UNKNOWN,,OBSERVATIONAL,Breast Cancer,"National University Hospital, Singapore",2010-08,2014-12,,OTHER,1,,,,False,FEMALE,0
NCT01468649,Phase II Real-Time NIR-Guided Sentinel Lymph Node Mapping in Breast Cancer,COMPLETED,EARLY_PHASE1,INTERVENTIONAL,Breast Cancer,Beth Israel Deaconess Medical Center,2011-06,2013-12,50.0,OTHER,1,False,18 Years,,False,FEMALE,2
